주문날짜,target_audience,수량,금액,평점,배송소요시간,주문건수,spend,clicks,impressions,conversions,revenue_generated,roas
2023-03-16,New Users,6,2283.2300000000005,3.6666666666666665,18.333333333333332,3,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Premium,7,2248.8399999999997,3.0,19.75,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Regular,5,2725.8199999999997,2.5,28.0,2,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,Inactive,1,422.23,1.0,14.0,1,1090.49,529.0,8489.0,45.0,2050.84,3.82
2023-03-17,New Users,2,1652.42,3.0,18.0,1,14128.99,2859.0,31004.0,291.0,29566.010000000002,2.936
2023-03-17,Premium,1,831.1,2.0,25.0,1,3922.53,860.0,5216.0,34.0,7701.25,2.01
2023-03-17,Regular,5,1287.49,4.333333333333333,14.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-18,Inactive,4,1127.43,3.5,22.0,2,9294.23,1425.0,14180.0,184.0,18505.010000000002,2.72
2023-03-18,New Users,4,2965.54,3.0,20.0,2,9916.33,2390.0,21491.0,145.0,13145.97,2.65
2023-03-18,Premium,8,5498.16,3.3333333333333335,19.333333333333332,3,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,New Users,4,3034.98,2.5,19.5,2,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,Premium,6,3663.73,4.0,29.333333333333332,3,5462.55,1384.0,13259.0,120.0,13094.28,2.555
2023-03-19,Regular,3,1680.71,3.5,12.5,2,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-20,Inactive,1,787.4,4.0,22.0,1,12970.89,1047.0,17876.0,164.0,17404.94,2.17
2023-03-20,New Users,1,264.89,4.0,20.0,1,12205.85,2674.0,12576.0,218.0,20611.89,2.9375
2023-03-20,Premium,1,530.85,5.0,17.0,1,5888.24,1522.0,7644.0,127.0,11209.91,3.355
2023-03-20,Regular,1,947.95,4.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,Inactive,3,1081.32,2.5,19.0,2,5043.98,1303.0,14074.0,149.0,12493.56,3.33
2023-03-21,New Users,15,6563.34,3.2857142857142856,20.285714285714285,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,Premium,4,3397.09,2.5,29.5,2,15576.630000000001,2680.0,25457.0,333.0,32148.5,2.416
2023-03-21,Regular,3,2258.1400000000003,4.0,19.0,2,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,Inactive,6,2416.14,3.6666666666666665,13.0,3,4078.9,917.0,9215.0,95.0,6369.96,3.19
2023-03-22,New Users,2,1162.94,4.0,14.0,2,12630.82,1393.0,20766.0,253.0,19654.41,2.5100000000000002
2023-03-22,Premium,2,254.32,3.0,12.0,1,3724.46,1190.0,16295.0,108.0,9596.24,2.565
2023-03-23,New Users,5,3577.3,3.0,23.666666666666668,3,2454.03,388.0,2362.0,82.0,4993.38,2.23
2023-03-23,Premium,2,886.34,3.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23,Regular,1,825.46,3.0,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-24,Inactive,3,1634.1599999999999,3.5,24.0,2,1873.15,662.0,6810.0,63.0,2188.86,2.85
2023-03-24,New Users,1,316.02,5.0,17.0,1,12422.25,2529.0,22015.0,249.0,30109.760000000002,2.5
2023-03-24,Premium,3,404.07,4.0,12.0,1,3685.58,118.0,4372.0,21.0,6105.73,2.72
2023-03-25,Inactive,1,193.46,1.0,19.0,1,5659.23,910.0,6843.0,109.0,10448.46,3.545
2023-03-25,New Users,5,2632.62,3.6666666666666665,15.0,3,14368.71,648.0,20928.0,180.0,12043.11,3.3200000000000003
