주문날짜,상품명,수량,금액,평점,spend,clicks,stock_received,damaged_stock
2023-03-19,Baby Food,3,2794.83,4.0,5462.55,1384.0,4.0,0.0
2023-03-19,Baby Wipes,5,3006.52,4.5,0.0,0.0,0.0,0.0
2023-03-19,Biscuits,3,2135.4700000000003,3.5,27024.5,4986.0,1.0,0.0
2023-03-19,Butter,1,702.54,4.0,5462.55,1384.0,0.0,0.0
2023-03-19,Carrots,3,2476.38,3.0,0.0,0.0,0.0,0.0
2023-03-19,Cat Food,2,431.3,4.0,6484.09,901.0,4.0,0.0
2023-03-19,Cola,1,422.23,1.0,1090.49,529.0,0.0,0.0
2023-03-19,Cough Syrup,2,968.45,3.5,9294.23,1425.0,3.0,2.0
2023-03-19,Detergent,2,325.34,4.0,6484.09,901.0,3.0,2.0
2023-03-19,Dog Food,1,831.1,2.0,3922.53,860.0,0.0,0.0
2023-03-19,Eggs,4,3304.84,2.5,0.0,0.0,0.0,0.0
2023-03-19,Frozen Biryani,2,659.58,4.0,0.0,0.0,3.0,0.0
2023-03-19,Ice Cream,1,140.8,3.0,0.0,0.0,0.0,0.0
2023-03-19,Mango Drink,1,321.28,2.0,9916.33,2390.0,0.0,2.0
2023-03-19,Milk,2,1197.66,3.0,12895.51,2127.0,3.0,0.0
2023-03-19,Nuts,1,556.35,4.0,0.0,0.0,3.0,0.0
2023-03-19,Orange Juice,3,2644.26,4.0,9916.33,2390.0,0.0,0.0
2023-03-19,Pain Reliever,1,530.85,5.0,6484.09,901.0,0.0,0.0
2023-03-19,Pet Treats,8,2778.1,3.3333333333333335,14756.779999999999,2809.0,0.0,0.0
2023-03-19,Potatoes,2,833.3,3.0,0.0,0.0,0.0,0.0
2023-03-19,Spinach,3,1892.52,2.0,0.0,0.0,0.0,0.0
2023-03-19,Toothpaste,2,176.86,3.0,0.0,0.0,0.0,0.0
2023-03-19,Wheat Flour,3,291.12,1.0,0.0,0.0,0.0,0.0
2023-03-26,Biscuits,2,1380.16,4.0,6396.44,1397.0,0.0,0.0
2023-03-26,Bread,8,6533.67,3.2,30166.63,3334.0,1.0,4.0
2023-03-26,Carrots,3,1535.2800000000002,3.5,7188.71,1142.0,3.0,0.0
2023-03-26,Cat Food,5,1634.52,4.333333333333333,25053.07,3922.0,0.0,6.0
2023-03-26,Chips,2,192.66,4.0,4078.9,917.0,0.0,0.0
2023-03-26,Cola,2,88.7,4.0,14368.71,648.0,0.0,0.0
2023-03-26,Cookies,1,237.62,3.0,0.0,0.0,0.0,0.0
2023-03-26,Cough Syrup,1,785.67,4.0,4434.81,377.0,4.0,0.0
2023-03-26,Detergent,1,193.46,1.0,5659.23,910.0,0.0,0.0
2023-03-26,Dog Food,1,491.39,4.0,12630.82,1393.0,3.0,0.0
2023-03-26,Eggs,2,422.5,4.0,2916.87,917.0,3.0,0.0
2023-03-26,Frozen Biryani,8,4211.200000000001,2.75,9371.92,2450.0,4.0,2.0
