주간_시작일,상품명,target_audience,수량,금액,평점,배송소요시간,카테고리,브랜드,spend,clicks,impressions,conversions,roas
2023-03-13,Baby Food,Premium,3,2794.83,4.0,19.0,Baby Care,Karnik PLC,9385.08,2244,18475,154,2.3733333333333335
2023-04-10,Baby Food,Inactive,3,2794.83,4.0,15.0,Baby Care,Karnik PLC,42929.31,6259,83522,780,2.48
2023-04-17,Baby Food,Inactive,1,236.51,4.0,20.0,Baby Care,Kashyap-Reddy,55584.33,7594,76990,832,2.6413333333333333
2023-04-24,Baby Food,Inactive,1,225.21,5.0,16.0,Baby Care,Sehgal-Nagarajan,44161.76,8579,75686,663,2.818
2023-05-01,Baby Food,All,3,675.63,5.0,23.0,Baby Care,Sehgal-Nagarajan,65198.43,11180,106428,1254,2.799090909090909
2023-05-01,Baby Food,Premium,3,2794.83,3.0,13.0,Baby Care,Karnik PLC,39217.0,6775,76987,755,2.6769230769230767
2023-05-08,Baby Food,Inactive,2,1863.22,3.0,17.0,Baby Care,Karnik PLC,26339.56,6484,55710,586,2.748
2023-05-08,Baby Food,New Users,2,1863.22,2.0,21.0,Baby Care,Karnik PLC,54002.56,11182,82292,929,2.4555555555555557
2023-05-15,Baby Food,Premium,3,675.63,3.0,14.0,Baby Care,Sehgal-Nagarajan,41141.54,8323,78769,783,2.9407692307692312
2023-05-22,Baby Food,Inactive,2,1863.22,4.0,11.0,Baby Care,Karnik PLC,41940.92,7036,63237,780,2.6392307692307693
2023-05-22,Baby Food,New Users,1,189.47,1.0,30.0,Baby Care,"Garg, Saraf and Dutta",45888.2,7480,74625,659,2.7521428571428572
2023-06-19,Baby Food,Premium,1,189.47,1.0,16.0,Baby Care,"Garg, Saraf and Dutta",39884.53,6358,88402,929,2.857142857142857
2023-07-03,Baby Food,New Users,3,2794.83,3.0,10.0,Baby Care,Karnik PLC,63605.99,13273,138032,1219,2.3195652173913044
2023-07-10,Baby Food,All,1,914.88,4.0,13.0,Baby Care,Mallick PLC,54765.65,7680,86867,987,2.74
2023-07-10,Baby Food,Inactive,3,2744.64,5.0,10.0,Baby Care,Mallick PLC,51539.340000000004,9477,94437,1037,2.3841176470588237
2023-07-17,Baby Food,Inactive,2,1829.76,4.0,24.0,Baby Care,Mallick PLC,53340.71,11576,101180,807,2.7725
2023-07-17,Baby Food,Premium,1,607.67,3.0,14.0,Baby Care,Srinivas PLC,50431.26,8868,94848,1008,2.422941176470588
2023-07-24,Baby Food,All,3,2794.83,3.0,21.0,Baby Care,Karnik PLC,47950.240000000005,8438,83866,833,2.775625
2023-07-24,Baby Food,New Users,1,931.61,2.0,14.0,Baby Care,Karnik PLC,46816.99,8898,93477,939,2.7025
2023-07-24,Baby Food,Premium,3,1823.01,2.0,32.0,Baby Care,Srinivas PLC,48265.82,8435,103331,926,2.58875
2023-07-31,Baby Food,Inactive,1,931.61,3.0,32.0,Baby Care,Karnik PLC,37271.01,7421,82581,782,2.656875
2023-08-07,Baby Food,All,6,3504.3599999999997,2.5,8.0,Baby Care,Karnik PLC,37545.88,6993,87504,725,2.77
2023-08-07,Baby Food,New Users,2,1829.76,4.0,30.0,Baby Care,Mallick PLC,82206.24,12667,122689,1282,2.6925000000000003
2023-08-14,Baby Food,New Users,1,236.51,3.0,14.0,Baby Care,Kashyap-Reddy,45510.28,5878,85459,823,2.7542857142857144
2023-08-21,Baby Food,All,2,473.02,2.0,16.0,Baby Care,Kashyap-Reddy,34749.41,5993,61433,635,2.901818181818182
