주간_시작일,지역,상품명,주간_상품_판매량,주간_평균_최고기온,주간_평균_최저기온,주간_평균_일교차,주간_평균_강수량,주간_폭염_일수,주간_폭우_일수
2023-03-14,Aurangabad,Baby Food,3,29.8,22.7,7.100000000000001,0.0,0.0,0.0
2023-03-14,Avadi,Pain Reliever,1,30.3,24.6,5.699999999999999,5.9,0.0,0.0
2023-03-14,Barasat,Baby Wipes,2,33.2,21.9,11.300000000000004,12.5,0.0,0.0
2023-03-14,Bhagalpur,Orange Juice,3,29.2,19.2,10.0,1.1,0.0,0.0
2023-03-14,Bihar Sharif,Spinach,3,32.8,19.8,12.999999999999996,0.0,0.0,0.0
2023-03-14,Chennai,Potatoes,2,30.9,25.9,5.0,0.0,0.0,0.0
2023-03-14,Chittoor,Biscuits,2,26.8,18.9,7.900000000000002,29.6,0.0,0.0
2023-03-14,Dhanbad,Cat Food,2,25.9,16.3,9.599999999999998,13.2,0.0,0.0
2023-03-14,Giridih,Wheat Flour,3,28.6,17.2,11.400000000000002,7.6,0.0,0.0
2023-03-14,Gopalpur,Mango Drink,1,32.1,22.0,10.1,0.4,0.0,0.0
2023-03-14,Haridwar,Eggs,3,25.1,15.2,9.900000000000002,0.7,0.0,0.0
2023-03-14,Jabalpur,Ice Cream,1,29.2,19.3,9.9,1.3,0.0,0.0
2023-03-14,Jabalpur,Pet Treats,3,28.4,17.2,11.2,2.2,0.0,0.0
2023-03-14,Jammu,Pet Treats,2,25.1,15.2,9.900000000000002,0.7,0.0,0.0
2023-03-14,Karawal Nagar,Toothpaste,2,31.9,19.0,12.9,0.1,0.0,0.0
2023-03-14,Karimnagar,Butter,1,29.0,17.6,11.4,0.3,0.0,0.0
2023-03-14,Khammam,Biscuits,1,29.0,17.6,11.4,0.3,0.0,0.0
2023-03-14,Khandwa,Eggs,1,29.2,19.3,9.9,1.3,0.0,0.0
2023-03-14,Mahbubnagar,Carrots,3,26.5,19.1,7.399999999999999,17.6,0.0,0.0
2023-03-14,Malegaon,Nuts,1,29.8,22.7,7.100000000000001,0.0,0.0,0.0
2023-03-14,Mirzapur,Orange Juice,1,24.9,17.1,7.799999999999997,13.6,0.0,0.0
2023-03-14,Nagaon,Frozen Biryani,2,26.9,18.4,8.5,7.8,0.0,0.0
2023-03-14,Nagaon,Pain Reliever,1,24.1,17.2,6.900000000000002,17.3,0.0,0.0
2023-03-14,Ongole,Cough Syrup,1,26.5,19.1,7.399999999999999,17.6,0.0,0.0
2023-03-14,Orai,Detergent,2,31.0,19.1,11.9,0.3,0.0,0.0
2023-03-14,Pallavaram,Onions,1,28.9,23.5,5.399999999999999,1.5,0.0,0.0
2023-03-14,Patiala,Pet Treats,3,25.1,15.3,9.8,1.1,0.0,0.0
2023-03-14,Rajkot,Baby Wipes,3,36.0,21.2,14.8,0.0,0.0,0.0
2023-03-14,Saharanpur,Pet Treats,1,24.9,17.1,7.799999999999997,13.6,0.0,0.0
2023-03-14,Sambalpur,Dog Food,1,32.2,23.4,8.800000000000004,0.0,0.0,0.0
2023-03-14,Sambhal,Cough Syrup,1,33.0,20.2,12.8,0.0,0.0,0.0
2023-03-14,Tezpur,Milk,2,20.5,17.1,3.3999999999999986,8.2,0.0,0.0
2023-03-14,Visakhapatnam,Cola,1,26.8,18.9,7.900000000000002,29.6,0.0,0.0
2023-03-21,Ahmednagar,Cough Syrup,1,29.5,20.4,9.1,0.0,0.0,0.0
2023-03-21,Aizawl,Bread,2,28.0,15.4,12.6,0.0,0.0,0.0
2023-03-21,Allahabad,Cat Food,1,31.2,15.9,15.3,0.0,0.0,0.0
2023-03-21,Anantapur,Toothpaste,1,29.9,16.9,13.0,0.0,0.0,0.0
2023-03-21,Bangalore,Pain Reliever,3,31.0,20.7,10.3,0.4,0.0,0.0
2023-03-21,Bhilwara,Frozen Biryani,1,30.1,17.8,12.3,0.0,0.0,0.0
2023-03-21,Bhilwara,Pain Reliever,2,29.3,16.5,12.8,0.0,0.0,0.0
2023-03-21,Bikaner,Frozen Biryani,2,28.3,13.9,14.4,0.0,0.0,0.0
2023-03-21,Chapra,Soap,3,33.6,20.8,12.8,0.1,0.0,0.0
2023-03-21,Chinsurah,Frozen Pizza,1,32.7,24.0,8.700000000000003,4.3,0.0,0.0
