주문날짜,상품_ID,상품명,카테고리,브랜드,유통기한_일수,지역,회원타입,금액,배송_지연시간,배송소요시간,수량,평점,상품별_평균평점,temp_max(최고 기온),temp_min(최저 기온),rain_pre(강수량 합계),temp_range(최고 기온-최저 기온),heatwave(폭염),heavy_rain(폭우)
2024-07-17,642612,Pet Treats,Pet Care,Pillay-Ahuja,365,Allahabad,Regular,1551.09,-5.0,13.0,3,4,3.62,32.5,28.0,2.5,4.5,0.0,0.0
2024-05-28,378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,180,Thrissur,New,881.42,2.0,13.0,1,3,3.29,26.6,25.0,171.9,1.6000000000000014,0.0,1.0
2024-09-23,741341,Eggs,Dairy & Breakfast,Prasad LLC,7,Vellore,Inactive,1847.68,4.0,22.0,2,3,3.4,33.0,24.8,15.5,8.2,0.0,0.0
2023-11-24,561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,180,Gaya,Premium,874.78,-1.0,17.0,1,4,3.22,26.0,15.8,0.0,10.2,0.0,0.0
2023-11-20,602241,Nuts,Snacks & Munchies,Bahl-Pau,90,Asansol,Premium,1953.1,1.0,18.0,2,3,3.16,29.5,18.8,0.0,10.7,0.0,0.0
2023-03-18,681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,180,Gopalpur,New,321.28,-1.0,19.0,1,2,3.24,32.1,22.0,0.4,10.100000000000001,0.0,0.0
2023-04-16,56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",365,Phagwara,Regular,1553.31,1.0,12.0,3,4,3.23,37.5,19.6,0.0,17.9,0.0,0.0
2024-03-31,500739,Bread,Dairy & Breakfast,Aggarwal Group,7,South Dumdum,Premium,719.96,2.0,13.0,2,2,2.87,35.3,25.5,7.3,9.799999999999997,0.0,0.0
2023-07-13,490939,Lotion,Personal Care,"Roy, Barad and De",365,Kamarhati,Regular,80.25,3.0,16.0,1,3,2.95,30.9,26.8,13.9,4.099999999999998,0.0,0.0
2023-08-09,760828,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",365,Sirsa,Regular,1126.9,7.0,27.0,2,3,2.94,32.7,26.4,0.0,6.300000000000004,0.0,0.0
2023-08-30,753354,Shampoo,Personal Care,Sant-Mahajan,365,Rohtak,New,1270.68,-2.0,8.0,3,2,3.0,32.0,23.6,0.0,8.399999999999999,0.0,0.0
2023-04-25,684939,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",365,Madurai,New,727.95,-5.0,7.0,1,3,3.41,32.1,27.8,0.9,4.300000000000001,0.0,0.0
2023-10-22,500739,Bread,Dairy & Breakfast,Aggarwal Group,7,Vijayawada,Inactive,1079.94,12.0,22.0,3,4,2.87,31.5,20.2,0.0,11.3,0.0,0.0
2024-01-28,540618,Popcorn,Snacks & Munchies,Golla-Luthra,90,Belgaum,New,317.05,11.0,27.0,1,5,3.65,28.4,15.9,0.0,12.499999999999998,0.0,0.0
2024-03-15,53833,Rice,Grocery & Staples,Tella-Master,365,Farrukhabad,Inactive,404.07,-3.0,14.0,3,4,3.33,29.8,16.0,0.0,13.8,0.0,0.0
2024-02-03,455755,Detergent,Household Care,Mangal-Sathe,365,Nizamabad,Regular,88.18,-2.0,11.0,2,4,3.76,29.9,19.4,0.2,10.5,0.0,0.0
2023-04-26,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",180,Serampore,Inactive,287.81,8.0,25.0,1,4,3.32,33.5,24.4,0.3,9.100000000000001,0.0,0.0
2024-04-30,798639,Eggs,Dairy & Breakfast,Subramaniam LLC,7,Alappuzha,Regular,211.25,3.0,14.0,1,4,3.06,32.5,24.9,13.8,7.600000000000001,0.0,0.0
2023-07-27,324809,Bread,Dairy & Breakfast,Sidhu PLC,7,Dehri,Premium,1824.0,-5.0,7.0,3,1,3.23,35.7,26.9,1.8,8.800000000000004,0.0,0.0
2023-12-09,679284,Cough Syrup,Pharmacy,Pant LLC,365,Khandwa,Premium,877.89,8.0,27.0,1,3,3.29,24.2,14.4,0.0,9.799999999999999,0.0,0.0
2023-07-01,952168,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",90,Hosur,Regular,710.8499999999999,13.0,29.0,3,2,3.38,34.8,28.3,0.6,6.4999999999999964,0.0,0.0
2023-03-21,706112,Vitamins,Pharmacy,"Magar, Gara and Garg",365,Ongole,Inactive,957.58,12.0,23.0,2,2,3.0,29.9,16.9,0.0,13.0,0.0,0.0
2024-05-28,812607,Potatoes,Fruits & Vegetables,Rege Group,3,Jalna,New,833.3,-1.0,11.0,2,5,3.25,33.7,28.9,0.6,4.800000000000004,0.0,0.0
2024-06-16,799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,7,Khammam,Premium,922.64,26.0,39.0,1,3,3.41,31.1,23.9,2.1,7.200000000000003,0.0,0.0
2024-06-26,709916,Detergent,Household Care,Varkey LLC,365,Rewa,New,101.28,-5.0,11.0,3,2,2.67,34.1,25.2,7.5,8.900000000000002,0.0,0.0
2024-06-23,67197,Butter,Dairy & Breakfast,Shetty-Bora,7,Adoni,Premium,1656.6,-5.0,7.0,3,4,3.16,31.9,23.1,2.5,8.799999999999997,0.0,0.0
2024-05-07,937542,Wheat Flour,Grocery & Staples,Khurana and Sons,365,Muzaffarpur,Premium,291.12,-5.0,13.0,3,3,3.14,34.9,24.5,0.0,10.399999999999999,0.0,0.0
2024-07-13,455755,Detergent,Household Care,Mangal-Sathe,365,Asansol,Premium,88.18,-2.0,9.0,2,3,3.76,31.9,25.5,9.8,6.399999999999999,0.0,0.0
2024-03-27,669378,Potatoes,Fruits & Vegetables,Chadha and Sons,3,Narasaraopet,Inactive,212.14,4.0,20.0,1,3,3.45,37.2,22.4,0.0,14.800000000000004,0.0,0.0
2024-11-02,112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",365,Hindupur,New,1755.96,13.0,24.0,2,3,3.4,29.1,20.6,1.6,8.5,0.0,0.0
2023-06-24,891833,Curd,Dairy & Breakfast,Mani PLC,7,Dehri,Inactive,493.19,-2.0,15.0,1,3,3.5,36.5,29.0,3.6,7.5,0.0,0.0
2023-05-02,60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,180,North Dumdum,Inactive,726.41,22.0,34.0,1,4,3.74,33.2,23.9,0.0,9.300000000000004,0.0,0.0
2024-08-04,561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,180,Saharanpur,Inactive,2624.34,-5.0,13.0,3,4,3.22,32.4,26.2,2.6,6.199999999999999,0.0,0.0
2023-08-11,993331,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",365,Davanagere,Premium,102.44,-1.0,13.0,1,4,4.08,28.4,20.2,0.6,8.2,0.0,0.0
2024-07-28,94225,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",365,Dibrugarh,Premium,231.33,-1.0,19.0,3,4,3.38,34.5,26.9,2.1,7.600000000000001,0.0,0.0
2023-04-05,552496,Dish Soap,Household Care,Dhar PLC,365,Ratlam,Premium,508.0,1.0,21.0,1,4,3.56,34.7,20.3,0.0,14.400000000000002,0.0,0.0
2024-04-26,57405,Baby Food,Baby Care,Srinivas PLC,365,Maheshtala,New,1823.01,-4.0,12.0,3,4,3.0,41.0,27.5,0.0,13.5,1.0,0.0
2023-05-12,240179,Cough Syrup,Pharmacy,Ram-Suri,365,Chittoor,New,271.68,7.0,23.0,3,4,3.15,37.4,22.4,0.0,15.0,0.0,0.0
2024-06-02,602241,Nuts,Snacks & Munchies,Bahl-Pau,90,Baranagar,New,2929.65,-5.0,12.0,3,3,3.16,33.9,28.7,5.9,5.199999999999999,0.0,0.0
2023-07-23,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",180,Etawah,Premium,287.81,2.0,18.0,1,4,3.32,34.2,28.9,0.5,5.300000000000004,0.0,0.0
2023-07-24,677542,Toilet Cleaner,Household Care,Thaman-Lanka,365,Bathinda,Regular,637.83,12.0,27.0,3,3,3.67,32.8,26.5,1.8,6.299999999999997,0.0,0.0
2023-05-06,888807,Bread,Dairy & Breakfast,Arya Group,7,Rajahmundry,Regular,691.74,-3.0,12.0,3,4,3.43,32.0,21.8,1.8,10.2,0.0,0.0
2023-12-06,540618,Popcorn,Snacks & Munchies,Golla-Luthra,90,Medininagar,Inactive,317.05,3.0,13.0,1,4,3.65,18.7,15.2,17.4,3.5,0.0,0.0
2024-06-18,876139,Pulses,Grocery & Staples,Cherian-Dara,365,Nandyal,Inactive,831.5,4.0,19.0,2,4,3.5,32.5,23.8,0.4,8.7,0.0,0.0
2023-11-08,444361,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",365,Akola,Inactive,2467.89,2.0,21.0,3,4,3.62,32.7,23.7,0.0,9.000000000000004,0.0,0.0
2023-03-17,451812,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",365,Avadi,Regular,530.85,0.0,16.0,1,5,3.15,30.3,24.6,5.9,5.699999999999999,0.0,0.0
2024-11-01,287070,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",365,Alappuzha,Regular,443.17,15.0,35.0,1,4,3.42,29.4,24.0,3.9,5.399999999999999,0.0,0.0
2024-08-21,432617,Baby Wipes,Baby Care,Dora-Pillai,365,Bokaro,Regular,2589.54,2.0,13.0,3,3,3.17,29.8,22.5,18.3,7.300000000000001,0.0,0.0
2024-01-01,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",180,Thrissur,New,287.81,-4.0,6.0,1,3,3.32,31.3,24.8,0.1,6.5,0.0,0.0
2024-02-08,144124,Detergent,Household Care,Lalla-Srinivasan,365,Rajahmundry,New,325.34,9.0,22.0,2,5,3.33,33.1,20.5,0.0,12.600000000000001,0.0,0.0
2024-04-21,324809,Bread,Dairy & Breakfast,Sidhu PLC,7,Chennai,Premium,608.0,-1.0,19.0,1,3,3.23,35.5,27.5,0.0,8.0,0.0,0.0
2023-07-26,888807,Bread,Dairy & Breakfast,Arya Group,7,Anand,Premium,461.16,4.0,15.0,2,4,3.43,32.0,25.5,3.7,6.5,0.0,0.0
2024-07-16,684939,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",365,Pali,Regular,727.95,-5.0,9.0,1,1,3.41,33.7,26.8,0.8,6.900000000000002,0.0,0.0
2024-05-02,734789,Popcorn,Snacks & Munchies,"Chaudhari, Pant and Singh",90,Mathura,Premium,395.82,0.0,18.0,1,4,3.3,36.2,22.1,0.0,14.100000000000001,0.0,0.0
2023-12-30,876139,Pulses,Grocery & Staples,Cherian-Dara,365,Khandwa,New,1247.25,7.0,19.0,3,4,3.5,26.1,12.6,0.0,13.500000000000002,0.0,0.0
2024-02-03,56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",365,Kakinada,Premium,1035.54,1.0,21.0,2,4,3.23,29.9,19.4,0.2,10.5,0.0,0.0
2023-08-01,890232,Mango Drink,Cold Drinks & Juices,Jha Group,180,Begusarai,Regular,432.0,2.0,14.0,1,3,3.06,34.8,26.8,32.4,7.9999999999999964,0.0,0.0
2024-05-03,432617,Baby Wipes,Baby Care,Dora-Pillai,365,Anand,New,863.18,0.0,10.0,1,4,3.17,42.0,25.8,0.0,16.2,1.0,0.0
2023-10-17,687218,Mango Drink,Cold Drinks & Juices,"Sankaran, Pall and Gola",180,Gurgaon,Inactive,953.46,1.0,15.0,3,3,3.64,26.3,16.0,0.1,10.3,0.0,0.0
2023-11-01,970529,Diapers,Baby Care,"Kurian, Patla and Sanghvi",365,Ahmednagar,Inactive,2482.32,9.0,22.0,3,2,3.48,34.0,22.2,0.0,11.8,0.0,0.0
2023-08-15,604184,Toilet Cleaner,Household Care,"Gaba, Sodhi and Choudhary",365,Tinsukia,Regular,795.1,4.0,19.0,2,4,3.57,32.5,25.8,3.1,6.699999999999999,0.0,0.0
