주문날짜,상품명,수량,금액,평점,배송소요시간,카테고리,브랜드,수량_lag_1,평점_lag_1,수량_lag_7,평점_lag_7,주문_증가량,평점_변화
2023-05-20,Baby Food,3,675.63,3.0,14.0,Baby Care,Sehgal-Nagarajan,2.0,3.0,3.0,4.0,1.0,0.0
2023-05-25,Baby Food,1,189.47,1.0,30.0,Baby Care,"Garg, Saraf and Dutta",3.0,3.0,3.0,4.0,-2.0,-2.0
2023-05-27,Baby Food,2,1863.22,4.0,11.0,Baby Care,Karnik PLC,1.0,1.0,1.0,4.0,1.0,3.0
2023-06-19,Baby Food,1,189.47,1.0,16.0,Baby Care,"Garg, Saraf and Dutta",2.0,4.0,1.0,5.0,-1.0,-3.0
2023-07-07,Baby Food,3,2794.83,3.0,10.0,Baby Care,Karnik PLC,1.0,1.0,6.0,4.0,2.0,2.0
2023-07-11,Baby Food,4,3659.52,4.5,11.5,Baby Care,Mallick PLC,3.0,3.0,2.0,2.0,1.0,1.5
2023-07-20,Baby Food,3,2437.43,3.5,19.0,Baby Care,Srinivas PLC,4.0,4.5,2.0,3.0,-1.0,-1.0
2023-07-26,Baby Food,3,2794.83,3.0,21.0,Baby Care,Karnik PLC,3.0,3.5,3.0,3.0,0.0,-0.5
2023-07-27,Baby Food,1,931.61,2.0,14.0,Baby Care,Karnik PLC,3.0,3.0,1.0,1.0,-2.0,-1.0
2023-07-30,Baby Food,3,1823.01,2.0,32.0,Baby Care,Srinivas PLC,1.0,2.0,2.0,4.0,2.0,0.0
2023-08-02,Baby Food,1,931.61,3.0,32.0,Baby Care,Karnik PLC,3.0,2.0,1.0,1.0,-2.0,1.0
2023-08-07,Baby Food,3,709.53,1.0,7.0,Baby Care,Kashyap-Reddy,1.0,3.0,3.0,3.0,2.0,-2.0
2023-08-09,Baby Food,3,2794.83,4.0,9.0,Baby Care,Karnik PLC,3.0,1.0,4.0,4.5,0.0,3.0
2023-08-10,Baby Food,2,1829.76,4.0,30.0,Baby Care,Mallick PLC,3.0,4.0,3.0,3.5,-1.0,0.0
2023-08-19,Baby Food,1,236.51,3.0,14.0,Baby Care,Kashyap-Reddy,2.0,4.0,3.0,3.0,-1.0,-1.0
2023-08-25,Baby Food,2,473.02,2.0,16.0,Baby Care,Kashyap-Reddy,1.0,3.0,1.0,2.0,1.0,-1.0
