주문_ID,고객_ID_주문,주문일자,약속_배송시간,실제_배송시간,배송_소요시간_분,배송상태_주문,상품_ID,단가,상품명,카테고리,브랜드,가격,정가_MRP,마진율_퍼센트,유통기한_일수,거리_km,지연_사유,평점,피드백_내용,피드백_카테고리,피드백_일자
1961864118,30065862,2024-07-17,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,On Time,642612,517.03,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,0.96,,4,"It was okay, nothing special.",Delivery,2024-07-17
1549769649,9573071,2024-05-28,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,On Time,378676,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,0.98,Traffic,3,The order was incorrect.,App Experience,2024-05-28
9185164487,45477575,2024-09-23,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,On Time,741341,923.84,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,3.83,Traffic,3,"It was okay, nothing special.",App Experience,2024-09-23
9644738826,88067569,2023-11-24,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,On Time,561860,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,2.76,,4,The product met my expectations.,App Experience,2023-11-24
5427684290,83298567,2023-11-20,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,On Time,602241,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,2.63,Traffic,3,Product was damaged during delivery.,Delivery,2023-11-20
3265154092,43367112,2023-03-18,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,On Time,681063,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,1.94,,2,Product was damaged during delivery.,Customer Service,2023-03-18
4898355547,13284996,2023-04-16,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,On Time,56589,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,2.2,Traffic,4,Highly recommended!,Product Quality,2023-04-16
6568151549,88866835,2024-03-31,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,On Time,500739,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,1.3,Traffic,2,I had a bad experience.,App Experience,2024-03-31
6006693867,24496983,2023-07-13,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,On Time,490939,80.25,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,3.38,Traffic,3,Product was damaged during delivery.,Delivery,2023-07-14
374186990,52215833,2023-08-09,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,Slightly Delayed,760828,563.45,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,1.47,Traffic,3,The product met my expectations.,App Experience,2023-08-09
4455336265,43431724,2023-08-30,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,On Time,753354,423.56,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,0.76,,2,Taste was not as expected.,Delivery,2023-08-30
3539286337,77559557,2023-04-25,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,On Time,684939,727.95,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,3.68,,3,"Delivery was fine, but the product could be better.",Delivery,2023-04-25
9171116867,87107263,2023-10-22,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,Slightly Delayed,500739,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,2.23,Traffic,4,The product met my expectations.,Customer Service,2023-10-22
5504941865,76512976,2024-01-28,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,Slightly Delayed,540618,317.05,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,4.45,Traffic,5,Highly recommended!,App Experience,2024-01-28
5868326481,37556526,2024-03-15,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,On Time,53833,134.69,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,2.8,,4,"Nothing to complain about, but nothing exceptional.",Product Quality,2024-03-15
2137046916,12059049,2024-02-03,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,On Time,455755,44.09,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,1.78,,4,"Overall good experience, thank you!",Customer Service,2024-02-03
